id,grau,tipo,notacao,funcao,chm,prioridade,comentario,secundarias_json
1,I,dim7,,,,,,"[{""grau"": ""IIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""bVII"", ""prioridade"": 2, ""comentario"": null}, {""grau"": ""IVdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""V"", ""prioridade"": 3, ""comentario"": null}, {""grau"": ""#Vdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""III"", ""prioridade"": 5, ""comentario"": null}, {""grau"": ""bVIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""III"", ""prioridade"": 4, ""comentario"": null}, {""grau"": ""VIIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""bII"", ""prioridade"": 1, ""comentario"": null}, {""grau"": ""bIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""VII"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""IIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""bVI"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""Vdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""IV"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bVIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""II"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""Idim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""I"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bIIIdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""VI"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""#IVdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""#IV"", ""prioridade"": null, ""comentario"": ""Esta explicação deve ser utilizada com reservas pois o acorde de chegada não é um acorde do campo harmônico principal.""}, {""grau"": ""VIdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""bIII"", ""prioridade"": null, ""comentario"": null}]"
2,I,m7(b5),,,,,,"[{""grau"": ""IIm7(b5)"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""bVII"", ""prioridade"": 1, ""comentario"": null}, {""grau"": ""#IVm7(b5)"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota abaixo."", ""funcao"": ""S"", ""referencia"": ""#IV"", ""prioridade"": 4, ""comentario"": ""Para esta explicação ser razoável o ponto de chegada deve ser maior com sétima.""}, {""grau"": ""VIm7(b5)"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""bIII"", ""prioridade"": 3, ""comentario"": null}, {""grau"": ""VIIm7(b5)"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""bII"", ""prioridade"": 2, ""comentario"": null}]"
3,I,m7,,T,Im7,3,Em poucos casos se vê empréstimo modal de Im. Pode ser que a peça tenha mesmo mudado para o tom menor homônimo. Uma outra hipótese é que na verdade este Im7 seja um bIII6 com a sexta no baixo. ,"[{""grau"": ""IIm7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""bVII"", ""prioridade"": 1, ""comentario"": null}, {""grau"": ""IVm7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""V"", ""prioridade"": 2, ""comentario"": null}]"
4,I,7,,T,I (Blues),2,,"[{""grau"": ""bII7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""VII"", ""prioridade"": null, ""comentario"": ""A rigor não existe preparação para acordes com quinta diminuta. Nestes casos costuma-se usar a preparação do acorde resultante do deslocamento uma primeira aumentada abaixo, apenas da fundamental.""}, {""grau"": ""IV7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""V"", ""prioridade"": 3, ""comentario"": null}, {""grau"": ""V7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""IV"", ""prioridade"": 1, ""comentario"": null}, {""grau"": ""bVII7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""II"", ""prioridade"": 4, ""comentario"": null}]"
5,I,Maj7,,T,IMaj7,1,,"[{""grau"": ""bIIMaj7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""VII"", ""prioridade"": null, ""comentario"": ""A rigor não existe preparação para acordes com quinta diminuta. Nestes casos costuma-se usar a preparação do acorde resultante do deslocamento uma primeira aumentada abaixo, apenas da fundamental.""}, {""grau"": ""IVMaj7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""V"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bVIMaj7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""III"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bVIIMaj7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""II"", ""prioridade"": null, ""comentario"": null}]"
6,#I,dim7,,,,,,"[{""grau"": ""IIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""VII"", ""prioridade"": 5, ""comentario"": null}, {""grau"": ""IVdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""bVI"", ""prioridade"": 4, ""comentario"": null}, {""grau"": ""#Vdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""IV"", ""prioridade"": 2, ""comentario"": null}, {""grau"": ""bVIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""IV"", ""prioridade"": 3, ""comentario"": null}, {""grau"": ""VIIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""II"", ""prioridade"": 1, ""comentario"": null}, {""grau"": ""bIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""I"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""IIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""VI"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""Vdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""#IV"", ""prioridade"": null, ""comentario"": ""Esta explicação deve ser utilizada com reservas pois o acorde de chegada não é um acorde do campo harmônico principal.""}, {""grau"": ""bVIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""bIII"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""Idim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""bII"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bIIIdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""bVII"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""#IVdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""V"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""VIdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""III"", ""prioridade"": null, ""comentario"": null}]"
7,#I,m7(b5),,,,,,"[{""grau"": ""IIm7(b5)"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""VII"", ""prioridade"": 4, ""comentario"": ""A rigor não existe preparação para acordes com quinta diminuta. Nestes casos costuma-se usar a preparação do acorde resultante do deslocamento uma primeira aumentada abaixo, apenas da fundamental.""}, {""grau"": ""#IVm7(b5)"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""V"", ""prioridade"": 2, ""comentario"": null}, {""grau"": ""VIm7(b5)"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""III"", ""prioridade"": 3, ""comentario"": null}, {""grau"": ""VIIm7(b5)"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""II"", ""prioridade"": 1, ""comentario"": null}]"
8,#I,m7,,,,,,"[{""grau"": ""IIm7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""VII"", ""prioridade"": 2, ""comentario"": ""A rigor não existe preparação para acordes com quinta diminuta. Nestes casos costuma-se usar a preparação do acorde resultante do deslocamento uma primeira aumentada abaixo, apenas da fundamental.""}, {""grau"": ""IVm7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""bVI"", ""prioridade"": 1, ""comentario"": null}]"
9,#I,7,,D,bII7 (e.m.),1,A melhor notação para este caso seria o acorde enarmônico uma nota acima.,"[{""grau"": ""IV7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""bVI"", ""prioridade"": 2, ""comentario"": null}, {""grau"": ""V7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""#IV"", ""prioridade"": 4, ""comentario"": ""Esta explicação deve ser utilizada com reservas pois o acorde de chegada não é um acorde do campo harmônico principal.""}, {""grau"": ""bVII7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""bIII"", ""prioridade"": 3, ""comentario"": null}, {""grau"": ""IV blue"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": null, ""referencia"": ""bVI"", ""prioridade"": 5, ""comentario"": null}]"
10,#I,Maj7,A melhor notação para este caso seria o acorde enarmônico uma nota acima.,S,bIIMaj7 (e.m.),1,,"[{""grau"": ""bIIMaj7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""I"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""IVMaj7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""bVI"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bVIMaj7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""IV"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bVIIMaj7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""bIII"", ""prioridade"": null, ""comentario"": null}]"
